URL,Business Name,AUM,First Name,Last Name,Role,Linkedin,Source
https://neverland.money,Neverland,,,[ANONYMOUS - Pseudonymous co-founder known as "Alice" (formerly AliceInDiscord from Wonderland/Volta Club)],[NOT FOUND],https://x.com/Neverland_Money/status/1945626228980908209
https://www.kongswap.io/swap,KongSwap,,,[ANONYMOUS - Team operates pseudonymously under SNS DAO governance on ICP],[NOT FOUND],https://forum.dfinity.org/t/introducing-kongswap/35607
https://solomonlabs.org/,Solomon USDv,,,Founder (known as Ranga C; full identity not publicly disclosed),[NOT FOUND],https://blog.solomonlabs.org/p/introducing-solomon
https://ftm.guru,Guru Network Classic,,,[ANONYMOUS - Team operates under pseudonym FTM1337; no public identities disclosed],[NOT FOUND],https://medium.com/@ftm1337/ftm-guru-fantom-opera-blockchain-tools-utilities-and-dapps-d033db591964
https://internationalmeme.fund,International Meme Fund,,,[ANONYMOUS - Pseudonymous founder known as "Clouted"],[NOT FOUND],https://www.blockstars.com.au/podcast/ep-81-featuring-clouted-uni-student-to-crypto-meme-founder
https://nerve.network/swap,NerveSwap,Mario,Blacutt,Founder of NerveNetwork & NULS Western Director (also known as Berzeck),[NOT FOUND],https://decrypt.co/33951/secret-dev-bridge-bitcoin-berzeck
https://www.isc.money,International Stable Currency,,,[ANONYMOUS - Team not publicly identified; project run by ISC Foundation],[NOT FOUND],https://medium.com/coinmonks/international-stable-currency-isc-c54cc5e18f0c
https://wavesbridge.io/,WavesBridge,,,[ANONYMOUS - Team not publicly identified; built on Waves ecosystem],[NOT FOUND],https://defillama.com/protocol/wavesbridge
https://oxium.xyz/,Oxium,,,[ANONYMOUS - Team not publicly identified; DEX on Sei Network],[NOT FOUND],https://www.rootdata.com/Projects/detail/Oxium?k=MTg2MzU%3D
https://www.udonswap.io/,UdonSwap,,,[ANONYMOUS - Team not publicly identified],[NOT FOUND],https://defillama.com/protocol/udonswap
https://www.ionic.money,Ionic Protocol,,,[ANONYMOUS - Pseudonymous team; evolved from Midas Capital; identities not disclosed],[NOT FOUND],https://medium.com/@ionicmoney/ionic-protocol-introduction-e6e0b748f538
https://vedelegate.vet/,veDelegate,,,[ANONYMOUS - Built by pseudonymous developer "favo" behind vechain.energy],[NOT FOUND],https://medium.com/vechain-foundation/building-on-vechain-meet-favo-developer-of-vechain-energy-50e2e5a1cbd3
https://www.erisprotocol.com,Eris Protocol,,,[ANONYMOUS - Team not publicly identified; GitHub org has no public members],[NOT FOUND],https://github.com/erisprotocol
https://baofinance.io/,Bao Masterchef,,,[ANONYMOUS - Pseudonymous founder known as "Baoman"; real identity undisclosed],[NOT FOUND],https://thebaoman.medium.com/introducing-bao-finance-5849f074f175
https://kaoyaswap.org/,KaoyaSwap,,,[ANONYMOUS - Team not publicly identified; 100% liquidity mining distribution],[NOT FOUND],https://icoholder.com/en/kaoyaswap-1030164
https://rollx.trade/,RollX,Danny,Lee,Key Representative & Contributor,[NOT FOUND],https://www.weex.com/wiki/article/introducing-rollx-complete-guide-to-roll-and-airdrop-opportunities-42002
https://davincigraph.io/devs/locks,DaVinciGraph,,,[ANONYMOUS - GitHub org has no public members; team not publicly named],[NOT FOUND],https://github.com/DaVinciGraph
https://www.dipcoin.io/perp/,DipCoin Perps,Bobby,Ho,Chief Marketing Officer (CMO),https://www.linkedin.com/in/web3-cmo/,https://zycrypto.com/dipcoin-launches-perpetual-mainnet-on-sui-redefining-on-chain-trading-performance/
https://spacefi.io,SpaceFi zkSync,,,[ANONYMOUS - Team described as experienced crypto developers; no public identities],[NOT FOUND],https://docs.spacefi.io/
https://netswap.io/#/home,NetSwap,,,[ANONYMOUS - Founded by anonymous team of developers on Metis],[NOT FOUND],https://docs.netswap.io/
https://bbbfi.com,BBBFI,,,,[ANONYMOUS - no public team information found; protocol could not be verified as a known DeFi project],[NOT FOUND],https://defillama.com/
https://incprinter.com,Incprinter (INC Printer),,,,[ANONYMOUS - team not publicly disclosed; Pulsechain-based borrowing protocol],[NOT FOUND],https://coinpaprika.com/coin/print-inc-printer/
https://www.datadex.com,DataDex,,,,[ANONYMOUS - built by undisclosed team of Web3/DeFi veterans on Vana Network],[NOT FOUND],https://www.vana.org/posts/spotlight-datadex
https://monday.trade,Monday Trade Perps,,,,Incubated by SynFutures Builder Program; team not individually disclosed,[NOT FOUND],https://www.prnewswire.com/news-releases/synfutures-announces-first-major-launch-from-its-builder-program-as-monday-trade-goes-live-on-monad-302635170.html
