# score	handle	total_eng	n_tweets	followers	note
71498	@giyommigirl	50557	2	5122
19692	@hanrorock	11369	3	2763
17928	@ilpyung98	2615	47	9970
17604	@mad_dogdebt	5868	9	14448
14471	@trend_tiger_	8355	3	11779
10311	@juhyeon6749	7291	2	3989
7862	@morrisoi37	5559	2	17948
7349	@magonia_b	1964	14	10349
7054	@joowol2	3527	4	32881
3565	@gimduha77994334	1029	12	8643
3148	@grabcrabtrader	2226	2	6875
3064	@admi_alts	1251	6	46147
3025	@gimyeolae81666	2139	2	2653
2292	@leebori1011	1621	2	1803
1675	@rhoppon	684	6	7434
1566	@_cokenee_	783	4	11777
1554	@newspicy1214	1099	2	74628
1508	@m00chi_ya	1066	2	2569
1242	@whitepeach	439	8	17809
1237	@semicon_player	505	6	52325
0	@IPALAU1	0	0	7953	graph-pass
