# score	handle	total_eng	n_tweets	followers	note
101399	@nullfee	71700	2	47963
85757	@aster_dex	15657	30	308135
66422	@lighter_xyz	12127	30	118486
48656	@americanfort_io	34405	2	93031
41755	@bearmoonverse	29525	2	318941
26946	@crypyocj	19054	2	245303
25635	@nokoya9	6619	15	81507
18222	@crypto__haris	7439	6	33579
16321	@degeneratenews	7299	5	422212
16194	@hyperliquidx	11451	2	403881
15352	@cryptopundiit	3273	22	168
13800	@snugtoes_	9758	2	44188
12177	@hypeconomist	4059	9	16528
10670	@sahilexec	2515	18	3665
9447	@canborsa_dex	6680	2	20431
8898	@henrik_on_hl	3363	7	11918
8023	@zoomerfied	5673	2	85984
7908	@avantisfi	1977	16	103991
7376	@edgex_exchange	2788	7	53598
6658	@samuelxeus	4708	2	259073
0	@vooi_io	0	0	182211	graph-pass
0	@InsilicoTrading	0	0	34818	graph-pass
0	@tealstreet	0	0	8183	graph-pass
