# Per-keyframe SSIM scores (lower = needs more work at this timestamp)
  t=0.0s  ssim=0.999976
  t=2.0s  ssim=0.902251
  t=4.0s  ssim=0.910083
  t=6.0s  ssim=0.945524
  t=8.0s  ssim=0.922624
  t=10.0s  ssim=0.928223
  t=12.0s  ssim=0.941588
  t=14.0s  ssim=0.886491
  t=16.0s  ssim=0.855454
  t=18.0s  ssim=0.848626
  t=20.0s  ssim=0.884225
  t=22.0s  ssim=0.899292
  t=24.0s  ssim=0.925634
  t=26.0s  ssim=0.908298
  t=28.0s  ssim=0.896473
  t=30.0s  ssim=0.896518
  t=32.0s  ssim=0.971931
  t=34.0s  ssim=0.972367
  t=36.0s  ssim=0.978878
  t=38.0s  ssim=0.957252
  t=40.0s  ssim=0.941864
  t=42.0s  ssim=0.936884
  t=44.0s  ssim=0.932009
  t=46.0s  ssim=0.938970
  t=48.0s  ssim=0.925864
  t=50.0s  ssim=0.905820
  t=52.0s  ssim=0.917777
  t=54.0s  ssim=0.922792
  t=56.0s  ssim=0.879942
  t=58.0s  ssim=0.873061
  t=60.0s  ssim=0.891984
  t=62.0s  ssim=0.877198
  t=64.0s  ssim=0.864555
  t=66.0s  ssim=0.861534
  t=68.0s  ssim=0.857274
  t=70.0s  ssim=0.842149
  t=72.0s  ssim=0.850469
  t=74.0s  ssim=0.848138
  t=76.0s  ssim=0.858270
  t=78.0s  ssim=0.965933
  t=80.0s  ssim=0.890304
  t=82.0s  ssim=0.893650
  t=84.0s  ssim=0.879036
  t=86.0s  ssim=0.931638
  t=88.0s  ssim=0.856603
  t=90.0s  ssim=0.869633
  t=92.0s  ssim=0.809033
  t=94.0s  ssim=0.866652
  t=96.0s  ssim=0.858538
  t=98.0s  ssim=0.892820
  t=100.0s  ssim=0.919864
  t=102.0s  ssim=0.877707
  t=104.0s  ssim=0.882479
  t=106.0s  ssim=0.979288
  t=108.0s  ssim=0.899947
  t=110.0s  ssim=0.929122
  t=112.0s  ssim=0.900749
  t=114.0s  ssim=0.999787
  t=116.0s  ssim=0.879749
  t=118.0s  ssim=0.864642
  t=120.0s  ssim=0.913194
  t=122.0s  ssim=0.949577
  t=124.0s  ssim=0.948246
  t=126.0s  ssim=0.895440
  t=128.0s  ssim=0.864849
  t=130.0s  ssim=0.865264
  t=132.0s  ssim=0.802322
  t=134.0s  ssim=0.999391
  t=136.0s  ssim=0.969038
  t=138.0s  ssim=0.961897
  t=140.0s  ssim=0.937045
  t=142.0s  ssim=0.873589
  t=144.0s  ssim=0.983924
  t=146.0s  ssim=0.955709
  t=148.0s  ssim=0.925801
  t=150.0s  ssim=0.929486
  t=152.0s  ssim=0.904953
  t=154.0s  ssim=0.918500
  t=156.0s  ssim=0.915903
  t=158.0s  ssim=0.998900
  t=160.0s  ssim=0.929621
  t=162.0s  ssim=0.859869
  t=164.0s  ssim=0.860623
  t=166.0s  ssim=0.860611
