# Per-keyframe SSIM scores (lower = needs more work at this timestamp)
  t=0.00s  ssim=0.988133
  t=2.00s  ssim=0.842684
  t=4.00s  ssim=0.908738
  t=6.00s  ssim=0.573462
  t=8.00s  ssim=0.879822
  t=10.00s  ssim=0.799782
  t=12.00s  ssim=0.855926
  t=14.00s  ssim=0.809102
  t=16.00s  ssim=0.927299
  t=18.00s  ssim=0.710620
  t=20.00s  ssim=0.534587
  t=22.00s  ssim=0.650195
  t=24.00s  ssim=0.677447
  t=26.00s  ssim=0.848298
  t=28.00s  ssim=0.639945
  t=30.00s  ssim=0.625250
  t=32.00s  ssim=0.827108
  t=34.00s  ssim=0.543423
  t=36.00s  ssim=0.513924
  t=38.00s  ssim=0.680444
  t=40.00s  ssim=0.579435
  t=42.00s  ssim=0.501903
  t=44.00s  ssim=0.618371
  t=46.00s  ssim=0.738586
  t=48.00s  ssim=0.533149
  t=50.00s  ssim=0.779373
  t=52.00s  ssim=0.757016
  t=54.00s  ssim=0.447550
  t=56.00s  ssim=0.439833
  t=58.00s  ssim=0.432900
  t=60.00s  ssim=0.428387
  t=62.00s  ssim=0.993849
  t=64.00s  ssim=0.974303
  t=66.00s  ssim=0.972062
