# Per-keyframe SSIM scores (lower = needs more work at this timestamp)
  t=0.00s  ssim=0.988133
  t=2.00s  ssim=0.844760
  t=4.00s  ssim=0.908646
  t=6.00s  ssim=0.677198
  t=8.00s  ssim=0.876579
  t=10.00s  ssim=0.799540
  t=12.00s  ssim=0.856177
  t=14.00s  ssim=0.809119
  t=16.00s  ssim=0.927340
  t=18.00s  ssim=0.710678
  t=20.00s  ssim=0.610913
  t=22.00s  ssim=0.713588
  t=24.00s  ssim=0.760946
  t=26.00s  ssim=0.860630
  t=28.00s  ssim=0.823738
  t=30.00s  ssim=0.750362
  t=32.00s  ssim=0.849251
  t=34.00s  ssim=0.903146
  t=36.00s  ssim=0.960662
  t=38.00s  ssim=0.789976
  t=40.00s  ssim=0.809199
  t=42.00s  ssim=0.745454
  t=44.00s  ssim=0.704885
  t=46.00s  ssim=0.731211
  t=48.00s  ssim=0.773566
  t=50.00s  ssim=0.783343
  t=52.00s  ssim=0.863649
  t=54.00s  ssim=0.662543
  t=56.00s  ssim=0.678772
  t=58.00s  ssim=0.716303
  t=60.00s  ssim=0.741827
  t=62.00s  ssim=0.993845
  t=64.00s  ssim=0.974303
  t=66.00s  ssim=0.973733
