# Per-keyframe SSIM scores (lower = needs more work at this timestamp)
  t=0.00s  ssim=0.988133
  t=2.00s  ssim=0.844760
  t=4.00s  ssim=0.908648
  t=6.00s  ssim=0.676394
  t=8.00s  ssim=0.876582
  t=10.00s  ssim=0.798964
  t=12.00s  ssim=0.856467
  t=14.00s  ssim=0.809163
  t=16.00s  ssim=0.927321
  t=18.00s  ssim=0.710779
  t=20.00s  ssim=0.610973
  t=22.00s  ssim=0.680369
  t=24.00s  ssim=0.753775
  t=26.00s  ssim=0.839142
  t=28.00s  ssim=0.808301
  t=30.00s  ssim=0.750627
  t=32.00s  ssim=0.850394
  t=34.00s  ssim=0.903146
  t=36.00s  ssim=0.960660
  t=38.00s  ssim=0.779551
  t=40.00s  ssim=0.700344
  t=42.00s  ssim=0.745801
  t=44.00s  ssim=0.704912
  t=46.00s  ssim=0.716797
  t=48.00s  ssim=0.769028
  t=50.00s  ssim=0.779203
  t=52.00s  ssim=0.863650
  t=54.00s  ssim=0.663342
  t=56.00s  ssim=0.676828
  t=58.00s  ssim=0.715360
  t=60.00s  ssim=0.743049
  t=62.00s  ssim=0.993853
  t=64.00s  ssim=0.974303
  t=66.00s  ssim=0.972743
